,group1,group2,test_stat,p_value
88,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",790.0,1.850821718107909e-09
89,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",820.0,9.094947017729282e-13
90,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",811.0,3.001332515850663e-11
91,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",793.0,1.1468728189356625e-09
92,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",806.0,1.000444171950221e-10
93,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'GAP', 'MLP')",745.0,3.6335800423901396e-07
94,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'GAP', 'lr')",592.0,0.0006584892676218559
95,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'GAP', 'xgb')",818.0,2.7284841053187847e-12
96,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'PRISM', 'MLP')",111.0,0.9999505845728729
97,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'PRISM', 'lr')",259.0,0.9795993024781637
98,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'PRISM', 'xgb')",255.0,0.9821978351883445
99,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",395.0,0.581622494635667
100,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",404.0,0.422551661702029
101,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",354.0,0.7741330305070733
102,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",431.0,0.3926017246240008
103,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'GAP', 'MLP')",751.0,2.3828943085391074e-07
104,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'GAP', 'lr')",661.0,0.00023972647068148945
105,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'GAP', 'xgb')",733.0,1.3368562576943077e-06
106,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",232.0,0.9862690812535505
107,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",404.0,0.5344238749457872
108,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",303.0,0.9250488122415845
109,"('gigapath', 'abmil-1_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",347.0,0.8012880840624348
110,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gabmil-1_heads', 'MLP')",391.0,0.49443294199811766
111,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gabmil-8_heads', 'MLP')",372.0,0.6957470890120021
112,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",815.0,9.094947017729282e-12
113,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",762.0,1.0443828665576653e-07
114,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",820.0,9.094947017729282e-13
115,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",777.0,3.321211344063411e-08
116,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",798.0,4.874891601502895e-10
117,"('gigapath', 'abmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",816.0,6.366462912410498e-12
118,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'GAP', 'MLP')",740.0,5.191183099911957e-07
119,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'GAP', 'lr')",613.0,0.0009292341182955261
120,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'GAP', 'xgb')",819.0,1.8189894035458565e-12
121,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'PRISM', 'MLP')",117.0,0.9999304363023042
122,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'PRISM', 'lr')",257.0,0.9809352779384426
123,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'PRISM', 'xgb')",233.0,0.992061889026445
124,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",361.0,0.7450429445379996
125,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",318.0,0.8424937493914665
126,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",324.0,0.8760364041090725
127,"('gigapath', 'abmil-8_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",403.0,0.5397038658484234
128,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'GAP', 'MLP')",754.0,1.7449474398745224e-07
129,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'GAP', 'lr')",666.0,0.00017859497074823594
130,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'GAP', 'xgb')",743.0,5.278707249090075e-07
131,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",205.0,0.9975646408365719
132,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",340.0,0.8264173542529534
133,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",241.0,0.9892269699294047
134,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",263.0,0.9766946870586253
135,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gabmil-8_heads', 'MLP')",418.0,0.46029613415157655
136,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",803.0,1.8826540326699615e-10
137,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",784.0,4.527464625425637e-09
138,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",816.0,6.366462912410498e-12
139,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",819.0,1.8189894035458565e-12
140,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",772.0,2.2373569663614035e-08
141,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",801.0,2.7921487344428897e-10
142,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'GAP', 'MLP')",737.0,5.3304057858198304e-08
143,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'GAP', 'lr')",609.0,0.001121015716033736
144,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'GAP', 'xgb')",820.0,9.094947017729282e-13
145,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'PRISM', 'MLP')",109.0,0.9999559736792007
146,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'PRISM', 'lr')",223.0,0.9837856343113341
147,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'PRISM', 'xgb')",209.0,0.9970841753829518
148,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",333.0,0.8494692436606783
149,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",297.0,0.9028245097622163
150,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",295.0,0.939300599076887
151,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",336.0,0.8398459694744815
152,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'GAP', 'MLP')",766.0,4.6134118747431785e-08
153,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'GAP', 'lr')",629.0,0.0013194854554967606
154,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'GAP', 'xgb')",747.0,3.5687207855517045e-07
155,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",179.0,0.9983826391049143
156,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",340.0,0.757333190899425
157,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",222.0,0.9949012884217154
158,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",269.0,0.9717082877605208
159,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",766.0,7.72647327889404e-08
160,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",772.0,2.2373569663614035e-08
161,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",817.0,4.547473508864641e-12
162,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",802.0,2.3010215954855084e-10
163,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",767.0,4.10136635764502e-08
164,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",763.0,9.68864684524409e-08
165,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'GAP', 'MLP')",773.0,1.97442204807885e-08
166,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'GAP', 'lr')",682.0,6.57728796795709e-05
167,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'GAP', 'xgb')",814.0,1.2732925824820995e-11
168,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'PRISM', 'MLP')",130.0,0.9999640099131284
169,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'PRISM', 'lr')",215.0,0.9962075685407399
170,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'PRISM', 'xgb')",214.0,0.9963679672582657
171,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",363.0,0.7363933304495731
172,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",330.0,0.8587079439075751
173,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",297.0,0.9028245097622163
174,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",348.0,0.627901760826005
175,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'GAP', 'MLP')",740.0,7.025937520666048e-07
176,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'GAP', 'lr')",655.0,0.00033773328959796345
177,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'GAP', 'xgb')",727.0,2.2638150767306797e-06
178,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",185.0,0.9964292414605401
179,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",333.0,0.8494692436606783
180,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",224.0,0.9831893043330204
181,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",264.0,0.9759177575260765
182,"('gigapath', 'gigapath_cls', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",13.0,0.9999999999363354
183,"('gigapath', 'gigapath_cls', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",108.0,0.9999928495535642
184,"('gigapath', 'gigapath_cls', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",49.0,0.9999999776264303
185,"('gigapath', 'gigapath_cls', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",8.0,0.9999999999827196
186,"('gigapath', 'gigapath_cls', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",25.0,0.999999999306965
187,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'GAP', 'MLP')",34.0,0.9999999970777935
188,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'GAP', 'lr')",33.0,0.9999999974852471
189,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'GAP', 'xgb')",42.0,0.9999999909450707
190,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'PRISM', 'MLP')",4.0,0.9999999999954525
191,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'PRISM', 'lr')",7.0,0.9999999999872671
192,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'PRISM', 'xgb')",0.0,1.0
193,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",28.0,0.9999999988531272
194,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",15.0,0.9999999998999556
195,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",25.0,0.999999999306965
196,"('gigapath', 'gigapath_cls', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",12.0,0.9999999999499778
197,"('gigapath', 'gigapath_cls', 'MLP')","('uni', 'GAP', 'MLP')",26.0,0.9999999991778168
198,"('gigapath', 'gigapath_cls', 'MLP')","('uni', 'GAP', 'lr')",18.0,0.9999999998117346
199,"('gigapath', 'gigapath_cls', 'MLP')","('uni', 'GAP', 'xgb')",0.0,1.0
200,"('gigapath', 'gigapath_cls', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",15.0,0.999999916665675
201,"('gigapath', 'gigapath_cls', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",5.0,0.9999999999936335
202,"('gigapath', 'gigapath_cls', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",13.0,0.9999999999363354
203,"('gigapath', 'gigapath_cls', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",8.0,0.9999999999827196
204,"('gigapath', 'gigapath_cls', 'lr')","('gigapath', 'gigapath_cls', 'xgb')",783.0,5.218680598773062e-09
205,"('gigapath', 'gigapath_cls', 'lr')","('gigapath', 'gigapath_pool', 'MLP')",681.0,7.019707300059963e-05
206,"('gigapath', 'gigapath_cls', 'lr')","('gigapath', 'gigapath_pool', 'lr')",193.0,0.9970123577329145
207,"('gigapath', 'gigapath_cls', 'lr')","('gigapath', 'gigapath_pool', 'xgb')",710.0,9.02951433090493e-06
208,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'GAP', 'MLP')",313.0,0.9039020247755616
209,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'GAP', 'lr')",72.0,0.999999707918505
210,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'GAP', 'xgb')",553.0,0.027405145639932016
211,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'PRISM', 'MLP')",4.0,0.9999999999954525
212,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'PRISM', 'lr')",18.0,0.9999999998117346
213,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'PRISM', 'xgb')",1.0,0.9999999999990905
214,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'abmil-1_heads', 'MLP')",68.0,0.9999998062412487
215,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'abmil-8_heads', 'MLP')",28.0,0.9999999988531272
216,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'gabmil-1_heads', 'MLP')",58.0,0.999999934778316
217,"('gigapath', 'gigapath_cls', 'lr')","('prism', 'gabmil-8_heads', 'MLP')",46.0,0.999999208726325
218,"('gigapath', 'gigapath_cls', 'lr')","('uni', 'GAP', 'MLP')",389.0,0.6125023826898541
219,"('gigapath', 'gigapath_cls', 'lr')","('uni', 'GAP', 'lr')",82.0,0.9999992282309904
220,"('gigapath', 'gigapath_cls', 'lr')","('uni', 'GAP', 'xgb')",422.0,0.43925353504255327
221,"('gigapath', 'gigapath_cls', 'lr')","('uni', 'abmil-1_heads', 'MLP')",37.0,0.9999999954725354
222,"('gigapath', 'gigapath_cls', 'lr')","('uni', 'abmil-8_heads', 'MLP')",22.0,0.9999999995934559
223,"('gigapath', 'gigapath_cls', 'lr')","('uni', 'gabmil-1_heads', 'MLP')",29.0,0.9999999986512194
224,"('gigapath', 'gigapath_cls', 'lr')","('uni', 'gabmil-8_heads', 'MLP')",18.0,0.9999999998117346
225,"('gigapath', 'gigapath_cls', 'xgb')","('gigapath', 'gigapath_pool', 'MLP')",65.0,0.9999998588527887
226,"('gigapath', 'gigapath_cls', 'xgb')","('gigapath', 'gigapath_pool', 'lr')",5.0,0.9999999999936335
227,"('gigapath', 'gigapath_cls', 'xgb')","('gigapath', 'gigapath_pool', 'xgb')",26.0,0.9999999991778168
228,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'GAP', 'MLP')",13.0,0.9999999999363354
229,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'GAP', 'lr')",19.0,0.9999999997698978
230,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'GAP', 'xgb')",26.0,0.9999999991778168
231,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'PRISM', 'MLP')",0.0,1.0
232,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'PRISM', 'lr')",2.0,0.999999999998181
233,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'PRISM', 'xgb')",0.0,1.0
234,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'abmil-1_heads', 'MLP')",16.0,0.9999999998753992
235,"('gigapath', 'gigapath_cls', 'xgb')","('prism', 'abmil-8_heads', 'MLP')",0.0,1.0
