|foundation_model|aggregator|classifier|fold|benign_auroc|bowens_auroc|bcc_auroc|scc_auroc|benign_auprc|bowens_auprc|bcc_auprc|scc_auprc
22|uni|gabmil-8_heads|MLP|4|0.8543882978723404|0.8466666666666667|0.9619047619047618|0.9752747252747253|0.7690119942569643|0.7755908453270821|0.9256177849927854|0.6427798392084105
23|uni|abmil-8_heads|MLP|1|0.8356009070294784|0.7841756420878211|0.981859410430839|0.9858247422680412|0.7529543421282582|0.6584010688298522|0.9597637504614249|0.8918650793650793
24|uni|abmil-8_heads|MLP|2|0.8888888888888888|0.8174872665534805|0.9726829268292683|0.9900990099009901|0.845213325699925|0.6552251585208657|0.9454532967032968|0.8357142857142856
25|uni|abmil-1_heads|MLP|4|0.8583776595744681|0.8288888888888888|0.9597883597883599|0.9739010989010989|0.7742886299662521|0.737871764859916|0.9361466689423683|0.5713512677798391
26|uni|gabmil-1_heads|MLP|1|0.8216175359032503|0.7928748964374482|0.9812925170068028|0.9922680412371134|0.7433632981393002|0.6691487452609607|0.9487168304118769|0.9248511904761905
27|uni|gabmil-8_heads|MLP|1|0.8473167044595615|0.7961888980944489|0.9716553287981858|0.9871134020618557|0.7696475505288382|0.6844135669779853|0.9459405538651084|0.8910714285714285
28|uni|abmil-1_heads|MLP|0|0.8718140929535233|0.8234234234234233|0.9598393574297187|0.9926362297496317|0.8083659014084612|0.6562587468740151|0.9429251700680272|0.8954648526077098
29|uni|abmil-8_heads|MLP|0|0.8313343328335832|0.7707207207207207|0.942627653471027|0.9808541973490427|0.7868538607759943|0.5941325999723688|0.9087971599157125|0.7948979591836735
30|uni|abmil-1_heads|MLP|1|0.8344671201814059|0.7970173985086992|0.9824263038548753|0.9961340206185567|0.7415035065123768|0.6689785318178659|0.9533566350516816|0.959375
31|uni|gabmil-8_heads|MLP|2|0.8935483870967742|0.8089983022071308|0.9760975609756097|0.9917491749174917|0.8541220037891207|0.6547283003854963|0.9525393801965232|0.8555555555555555
32|uni|gabmil-8_heads|MLP|3|0.872250198780811|0.8680232558139536|0.9792274052478134|0.9943019943019943|0.8207256409795496|0.7956066665249698|0.9314593117925646|0.9191718775052109
33|uni|abmil-1_heads|MLP|2|0.8899641577060933|0.8128183361629882|0.9697560975609757|0.9884488448844884|0.8547988292696611|0.6374695493064461|0.9458674466674468|0.8305555555555555
34|uni|abmil-8_heads|MLP|3|0.8605883912006361|0.8607558139534883|0.9865160349854227|0.9914529914529915|0.7947439214045304|0.7728293771523691|0.9598411185950004|0.8794973544973546
35|uni|gabmil-1_heads|MLP|4|0.8513962765957446|0.8414814814814814|0.9592592592592593|0.9766483516483516|0.7625490274992593|0.744149803138664|0.9358906525573196|0.604251700680272
36|uni|gabmil-1_heads|MLP|0|0.8665667166416791|0.8135135135135134|0.9604130808950085|0.9911634756995582|0.7918638785322787|0.6435095319463862|0.9183270065070153|0.8843537414965986
37|uni|gabmil-1_heads|MLP|2|0.8849462365591397|0.8128183361629882|0.9731707317073172|0.9884488448844885|0.8529253016335933|0.6162933154952648|0.9536539624924381|0.8134920634920634
38|uni|abmil-8_heads|MLP|4|0.8450797872340425|0.8407407407407408|0.9756613756613757|0.9766483516483516|0.7493421878903193|0.7821404050779007|0.9387707918744816|0.6665893630179345
39|uni|gabmil-8_heads|MLP|0|0.8343328335832084|0.781981981981982|0.9483648881239243|0.9882179675994109|0.7844495846098598|0.6170179608024905|0.9150397643956384|0.8571428571428572
40|prism|abmil-1_heads|MLP|2|0.8903225806451612|0.819609507640068|0.9624390243902439|0.9768976897689768|0.8542179621350122|0.6769549527422087|0.9364088853519464|0.7278138528138527
41|prism|abmil-1_heads|MLP|0|0.8414542728635683|0.813963963963964|0.9586919104991395|0.9896907216494845|0.7622852683249796|0.6919465727924222|0.931516821258884|0.8631519274376418
