id,rank_of_pos_uni,rank_of_neg_uni,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660305-2,0.6762640449438202,-1.0,0.8764044943820225,-1.0,0.2001404494382023,0.0
660050-5,0.6720505617977528,-1.0,0.863061797752809,-1.0,0.1910112359550562,0.0
660050-1,0.7942415730337079,-1.0,0.9845505617977528,-1.0,0.1903089887640449,0.0
660201-2,0.723314606741573,-1.0,0.9115168539325843,-1.0,0.1882022471910113,0.0
660034-5,0.776685393258427,-1.0,0.9620786516853933,-1.0,0.1853932584269663,0.0
660567-02,0.651685393258427,-1.0,0.8293539325842697,-1.0,0.1776685393258427,0.0
660528-1,0.901685393258427,-1.0,0.7247191011235955,-1.0,0.1769662921348315,0.0
660101-2,0.9705056179775281,-1.0,0.7956460674157303,-1.0,0.1748595505617978,0.0
660541-1,0.7865168539325843,-1.0,0.9599719101123596,-1.0,0.1734550561797753,0.0
660365-4,0.9241573033707865,-1.0,0.7556179775280899,-1.0,0.1685393258426966,0.0
660198-2,0.7542134831460674,-1.0,0.9220505617977528,-1.0,0.1678370786516854,0.0
660177-5,0.7127808988764045,-1.0,0.8806179775280899,-1.0,0.1678370786516854,0.0
660050-6,0.7064606741573034,-1.0,0.8735955056179775,-1.0,0.1671348314606741,0.0
660079-5,0.9213483146067416,-1.0,0.7563202247191011,-1.0,0.1650280898876405,0.0
660625-04,0.8665730337078652,-1.0,0.7050561797752809,-1.0,0.1615168539325843,0.0
660324-1,0.8349719101123596,-1.0,0.9943820224719101,-1.0,0.1594101123595505,0.0
660335-2,0.9445224719101124,-1.0,0.7865168539325843,-1.0,0.1580056179775281,0.0
660511-3,0.8314606741573034,-1.0,0.9859550561797753,-1.0,0.1544943820224719,0.0
660470-1,0.7928370786516854,-1.0,0.6383426966292135,-1.0,0.1544943820224719,0.0
660173-2,0.9726123595505618,-1.0,0.8195224719101124,-1.0,0.1530898876404494,0.0
660173-3,0.8918539325842697,-1.0,0.7408707865168539,-1.0,0.1509831460674158,0.0
660209-2,0.7127808988764045,-1.0,0.8616573033707865,-1.0,0.148876404494382,0.0
660163-1,0.7794943820224719,-1.0,0.9269662921348315,-1.0,0.1474719101123596,0.0
660486-2,0.9213483146067416,-1.0,0.7745786516853933,-1.0,0.1467696629213483,0.0
660420-3,0.8398876404494382,-1.0,0.6938202247191011,-1.0,0.1460674157303371,0.0
660242-6,0.7928370786516854,-1.0,0.6474719101123596,-1.0,0.1453651685393258,0.0
660550-01,0.9824438202247191,-1.0,0.8377808988764045,-1.0,0.1446629213483146,0.0
660435-1,0.848314606741573,-1.0,0.9908707865168539,-1.0,0.1425561797752809,0.0
660177-4,0.7542134831460674,-1.0,0.8967696629213483,-1.0,0.1425561797752809,0.0
660185-2,0.9480337078651685,-1.0,0.8061797752808989,-1.0,0.1418539325842696,0.0
660081-4,0.9796348314606742,-1.0,0.8384831460674157,-1.0,0.1411516853932585,0.0
660548-4,0.9115168539325843,-1.0,0.7745786516853933,-1.0,0.136938202247191,0.0
660617-02,0.9796348314606742,-1.0,0.8433988764044944,-1.0,0.1362359550561798,0.0
660242-3,0.925561797752809,-1.0,0.7900280898876404,-1.0,0.1355337078651686,0.0
660435-2,0.827247191011236,-1.0,0.9620786516853933,-1.0,0.1348314606741573,0.0
660495-2,0.8033707865168539,-1.0,0.9360955056179775,-1.0,0.1327247191011236,0.0
660365-3,0.5674157303370787,-1.0,0.43679775280898875,-1.0,0.13061797752808996,0.0
660486-1,0.9768258426966292,-1.0,0.8462078651685393,-1.0,0.1306179775280899,0.0
660627-04,0.9648876404494382,-1.0,0.8342696629213483,-1.0,0.1306179775280899,0.0
660196-1,0.961376404494382,-1.0,0.8307584269662921,-1.0,0.1306179775280899,0.0
660335-1,0.9396067415730337,-1.0,0.8089887640449438,-1.0,0.1306179775280899,0.0
660372-2,0.8265449438202247,-1.0,0.9564606741573034,-1.0,0.1299157303370787,0.0
660211-2,0.797752808988764,-1.0,0.9269662921348315,-1.0,0.1292134831460675,0.0
660177-3,0.7717696629213483,-1.0,0.9009831460674157,-1.0,0.1292134831460674,0.0
660177-6,0.8054775280898876,-1.0,0.9339887640449438,-1.0,0.1285112359550562,0.0
660173-4,0.9037921348314607,-1.0,0.7759831460674157,-1.0,0.127808988764045,0.0
660081-6,0.9943820224719101,-1.0,0.8672752808988764,-1.0,0.1271067415730337,0.0
660164-1,0.7717696629213483,-1.0,0.898876404494382,-1.0,0.1271067415730337,0.0
660081-2,0.988061797752809,-1.0,0.8616573033707865,-1.0,0.1264044943820225,0.0
660081-5,0.988061797752809,-1.0,0.8623595505617978,-1.0,0.1257022471910112,0.0
660562-01,0.964185393258427,-1.0,0.8469101123595506,-1.0,0.1172752808988764,0.0
660050-4,0.8813202247191011,-1.0,0.9978932584269663,-1.0,0.1165730337078652,0.0
660113-1,0.9803370786516854,-1.0,0.8651685393258427,-1.0,0.1151685393258427,0.0
660086-2,0.9943820224719101,-1.0,0.8806179775280899,-1.0,0.1137640449438202,0.0
660627-02,0.976123595505618,-1.0,0.8637640449438202,-1.0,0.1123595505617978,0.0
660069-5,0.8567415730337079,-1.0,0.7443820224719101,-1.0,0.1123595505617978,0.0
660185-1,0.9360955056179775,-1.0,0.824438202247191,-1.0,0.1116573033707865,0.0
660081-1,0.9936797752808989,-1.0,0.8827247191011236,-1.0,0.1109550561797753,0.0
660094-2,0.9269662921348315,-1.0,0.8160112359550562,-1.0,0.1109550561797753,0.0
