,group1,group2,test_stat,p_value
90,"('gigapath', 'GAP', 'xgb')","('prism', 'gabmil-8_heads', 'MLP')",36.0,0.9999999960800778
91,"('gigapath', 'GAP', 'xgb')","('resnet18', 'GAP', 'MLP')",790.0,1.850821718107909e-09
92,"('gigapath', 'GAP', 'xgb')","('resnet18', 'GAP', 'lr')",429.0,0.40286349197413074
93,"('gigapath', 'GAP', 'xgb')","('resnet18', 'GAP', 'xgb')",724.0,2.9225784601294436e-06
94,"('gigapath', 'GAP', 'xgb')","('resnet18', 'abmil-1_heads', 'MLP')",789.0,2.1600499167107046e-09
95,"('gigapath', 'GAP', 'xgb')","('resnet18', 'abmil-8_heads', 'MLP')",757.0,1.267735569854267e-07
96,"('gigapath', 'GAP', 'xgb')","('resnet18', 'gabmil-1_heads', 'MLP')",770.0,2.8616341296583414e-08
97,"('gigapath', 'GAP', 'xgb')","('resnet18', 'gabmil-8_heads', 'MLP')",793.0,1.1468728189356625e-09
98,"('gigapath', 'GAP', 'xgb')","('uni', 'GAP', 'MLP')",105.0,0.9999943626971799
99,"('gigapath', 'GAP', 'xgb')","('uni', 'GAP', 'lr')",47.0,0.9999999825986379
100,"('gigapath', 'GAP', 'xgb')","('uni', 'GAP', 'xgb')",124.0,0.9999763488012832
101,"('gigapath', 'GAP', 'xgb')","('uni', 'abmil-1_heads', 'MLP')",29.0,0.9999999986512194
102,"('gigapath', 'GAP', 'xgb')","('uni', 'abmil-8_heads', 'MLP')",22.0,0.9999999995934559
103,"('gigapath', 'GAP', 'xgb')","('uni', 'gabmil-1_heads', 'MLP')",25.0,0.999999999306965
104,"('gigapath', 'GAP', 'xgb')","('uni', 'gabmil-8_heads', 'MLP')",20.0,0.9999999997207851
105,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'abmil-8_heads', 'MLP')",452.0,0.19346180428219323
106,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gabmil-1_heads', 'MLP')",562.0,0.000747472168081531
107,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gabmil-8_heads', 'MLP')",504.0,0.05581944437096139
108,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",775.0,3.8788711813720605e-08
109,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",790.0,1.850821718107909e-09
110,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",820.0,9.094947017729282e-13
111,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",811.0,3.001332515850663e-11
112,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",793.0,1.1468728189356625e-09
113,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",806.0,1.000444171950221e-10
114,"('gigapath', 'abmil-1_heads', 'MLP')","('prism', 'GAP', 'MLP')",745.0,3.6335800423901396e-07
