id,rank_of_pos_uni,rank_of_neg_uni,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660171-5,0.8308681672025724,-1.0,0.9485530546623794,-1.0,0.11768488745980699,0.0
660322-4,0.9466237942122186,-1.0,0.8315112540192926,-1.0,0.11511254019292605,0.0
660126-6,0.9517684887459807,-1.0,0.842443729903537,-1.0,0.10932475884244375,0.0
660349-2,0.9781350482315112,-1.0,0.8707395498392283,-1.0,0.1073954983922829,0.0
660487-2,0.7594855305466238,-1.0,0.8668810289389067,-1.0,0.1073954983922829,0.0
660521-3,0.777491961414791,-1.0,0.8842443729903537,-1.0,0.1067524115755627,0.0
660444-5,0.8810289389067524,-1.0,0.9819935691318328,-1.0,0.1009646302250804,0.0
660619-03,0.6932475884244373,-1.0,0.7929260450160772,-1.0,0.09967845659163987,0.0
660040-3,0.7967845659163987,-1.0,0.8938906752411575,-1.0,0.09710610932475883,0.0
660521-1,0.9691318327974277,-1.0,0.872668810289389,-1.0,0.09646302250803862,0.0
660473-4,0.9607717041800643,-1.0,0.864951768488746,-1.0,0.0958199356913183,0.0
660515-5,0.9414790996784566,-1.0,0.8495176848874598,-1.0,0.09196141479099673,0.0
660500-6,0.85016077170418,-1.0,0.9382636655948553,-1.0,0.08810289389067527,0.0
660515-6,0.9041800643086817,-1.0,0.9909967845659164,-1.0,0.08681672025723475,0.0
660506-5,0.9163987138263665,-1.0,1.0,-1.0,0.0836012861736335,0.0
660600-06,0.9163987138263665,-1.0,0.9993569131832798,-1.0,0.08295819935691329,0.0
660068-2,0.9112540192926045,-1.0,0.9909967845659164,-1.0,0.07974276527331192,0.0
660473-5,0.9832797427652733,-1.0,0.9106109324758842,-1.0,0.0726688102893891,0.0
660304-5,0.9241157556270096,-1.0,0.9909967845659164,-1.0,0.0668810289389068,0.0
660508-3,0.997427652733119,-1.0,0.9331189710610932,-1.0,0.06430868167202575,0.0
660619-05,0.9942122186495177,-1.0,0.935048231511254,-1.0,0.05916398713826365,0.0
660432-5,0.9498392282958199,-1.0,1.0,-1.0,0.050160771704180096,0.0
660473-2,0.9916398713826367,-1.0,0.9434083601286174,-1.0,0.048231511254019255,0.0
660233-4,0.9337620578778135,-1.0,0.9787781350482315,-1.0,0.045016077170418,0.0
660100-1,0.9562700964630225,-1.0,1.0,-1.0,0.04372990353697748,0.0
660473-1,0.9890675241157556,-1.0,0.9479099678456592,-1.0,0.04115755627009643,0.0
660320-6,0.9942122186495177,-1.0,0.9536977491961415,-1.0,0.04051446945337622,0.0
660070-6,0.9832797427652733,-1.0,0.9427652733118971,-1.0,0.04051446945337622,0.0
660396-5,0.9479099678456592,-1.0,0.9858520900321543,-1.0,0.037942122186495175,0.0
660403-3,0.9832797427652733,-1.0,0.9466237942122186,-1.0,0.03665594855305465,0.0
660545-6,0.980064308681672,-1.0,0.9434083601286174,-1.0,0.03665594855305465,0.0
660393-3,0.9594855305466238,-1.0,0.9935691318327974,-1.0,0.034083601286173604,0.0
660399-5,0.9562700964630225,-1.0,0.9903536977491961,-1.0,0.034083601286173604,0.0
660068-1,0.9562700964630225,-1.0,0.9903536977491961,-1.0,0.034083601286173604,0.0
660431-3,0.9633440514469453,-1.0,0.9954983922829582,-1.0,0.032154340836012874,0.0
660444-6,0.9569131832797427,-1.0,0.9890675241157556,-1.0,0.032154340836012874,0.0
660100-3,0.9588424437299036,-1.0,0.9903536977491961,-1.0,0.031511254019292556,0.0
660473-6,0.9832797427652733,-1.0,0.952411575562701,-1.0,0.03086816720257235,0.0
